id,title,content,images,publish_date,user_id,category_id,status,article_type
1,Guide d'achat Rolex Submariner,"Un guide complet pour l'achat de la Rolex Submariner. Découvrez l'histoire de ce modèle emblématique, les critères à vérifier avant l'achat, et les conseils pour différencier les modèles authentiques des contrefaçons. Nous abordons également les prix du marché actuel et les points à surveiller chez les revendeurs.",/images/sub.jpg,2024-01-15,"2",1,PUBLISHED,GUIDE
2,Test Apple Watch Series 8,"Notre test complet de la dernière montre connectée d'Apple. Nous analysons les performances, les nouvelles fonctionnalités comme le capteur de température, et la compatibilité avec l'écosystème Apple. Un verdict détaillé sur son autonomie, son design et si elle mérite son prix.",/images/watch8.jpg,2024-02-01,"4",2,PUBLISHED,REVIEW
3,Histoire de l'horlogerie,"L'évolution des montres à travers les siècles. De l'horloge mécanique des cloîtres médiévaux aux montres connectées modernes, cet article explore les grandes innovations, les marques légendaires et l'impact de l'horlogerie sur la mode et la technologie.",/images/history.jpg,2024-02-15,"2",1,PUBLISHED,ARTICLE
4,Lexique technique,"Tous les termes techniques expliqués pour mieux comprendre le monde des montres. De la complication à l'échappement, en passant par le calibre et la lunette, ce lexique couvre les bases pour les amateurs et les experts.",/images/terms.jpg,2024-03-01,"4",1,PUBLISHED,LEXIQUE
5,Comparatif montres connectées,"Comparaison des meilleures montres connectées en 2024. Analyse des caractéristiques clés comme l'autonomie, les capteurs de santé, et les écosystèmes compatibles. Retrouvez notre classement des modèles phares de marques comme Apple, Samsung, et Garmin.",/images/compare.jpg,2024-03-10,"2",2,DRAFT,GUIDE
6,Guide d'achat Rolex Submariner,"Un guide complet pour l'achat de la Rolex Submariner. Découvrez l'histoire de ce modèle emblématique, les critères à vérifier avant l'achat, et les conseils pour différencier les modèles authentiques des contrefaçons. Nous abordons également les prix du marché actuel et les points à surveiller chez les revendeurs.",/images/sub.jpg,2024-01-15,"2",1,PUBLISHED,GUIDE
7,Test Apple Watch Series 8,"Notre test complet de la dernière montre connectée d'Apple. Nous analysons les performances, les nouvelles fonctionnalités comme le capteur de température, et la compatibilité avec l'écosystème Apple. Un verdict détaillé sur son autonomie, son design et si elle mérite son prix.",/images/watch8.jpg,2024-02-01,"4",2,PUBLISHED,REVIEW
8,Histoire de l'horlogerie,"L'évolution des montres à travers les siècles. De l'horloge mécanique des cloîtres médiévaux aux montres connectées modernes, cet article explore les grandes innovations, les marques légendaires et l'impact de l'horlogerie sur la mode et la technologie.",/images/history.jpg,2024-02-15,"2",1,PUBLISHED,ARTICLE
9,Lexique technique,"Tous les termes techniques expliqués pour mieux comprendre le monde des montres. De la complication à l'échappement, en passant par le calibre et la lunette, ce lexique couvre les bases pour les amateurs et les experts.",/images/terms.jpg,2024-03-01,"4",1,PUBLISHED,LEXIQUE
10,Comparatif montres connectées,"Comparaison des meilleures montres connectées en 2024. Analyse des caractéristiques clés comme l'autonomie, les capteurs de santé, et les écosystèmes compatibles. Retrouvez notre classement des modèles phares de marques comme Apple, Samsung, et Garmin.",/images/compare.jpg,2024-03-10,"2",2,DRAFT,GUIDE
